dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,battout,humidity,winddir,windspeedmph,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,solarradiation,uv,batt_co2,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,tz,date
1634615580000,30.11111111111111,70,762.0762,759.9172,32.5,1,64,151,0.0,0.0,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,890.97,8,1,39.644444444444446,24.78888888888889,35.33333333333333,24.0,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:53:00
1634615580000,30.11111111111111,70,762.0762,759.9172,32.5,1,64,151,0.0,0.0,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,890.97,8,1,39.644444444444446,24.78888888888889,35.33333333333333,24.0,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:53:00
1634624400000,30.0,62,759.9934,757.809,30.88888888888889,1,73,151,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,268.03,2,1,38.21111111111111,25.47222222222221,33.22222222222222,21.888888888888893,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:20:00
1634624460000,29.88888888888889,62,759.9934,757.809,30.88888888888889,1,73,176,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,271.95,2,1,38.21111111111111,25.47222222222221,33.0,21.77777777777778,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:21:00
1634624460000,29.88888888888889,62,759.9934,757.809,30.88888888888889,1,73,176,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,271.95,2,1,38.21111111111111,25.47222222222221,33.0,21.77777777777778,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:21:00
1634624460000,29.88888888888889,62,759.9934,757.809,30.88888888888889,1,73,176,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,271.95,2,1,38.21111111111111,25.47222222222221,33.0,21.77777777777778,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:21:00
1634624460000,29.88888888888889,62,759.9934,757.809,30.88888888888889,1,73,176,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,271.95,2,1,38.21111111111111,25.47222222222221,33.0,21.77777777777778,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:21:00
1634624460000,29.88888888888889,62,759.9934,757.809,30.88888888888889,1,73,176,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,271.95,2,1,38.21111111111111,25.47222222222221,33.0,21.77777777777778,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:21:00
1634624520000,29.77777777777777,62,760.1203999999999,757.9614,31.0,1,73,178,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,275.86,2,1,38.52777777777777,25.57777777777778,32.77777777777778,21.72222222222221,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:22:00
1634624520000,29.77777777777777,62,760.1203999999999,757.9614,31.0,1,73,178,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,275.86,2,1,38.52777777777777,25.57777777777778,32.77777777777778,21.72222222222221,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:22:00
1634624520000,29.77777777777777,62,760.1203999999999,757.9614,31.0,1,73,178,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,275.86,2,1,38.52777777777777,25.57777777777778,32.77777777777778,21.72222222222221,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:22:00
1634624640000,29.77777777777777,62,759.9934,757.809,31.0,1,73,178,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,283.2,2,1,38.52777777777777,25.57777777777778,32.77777777777778,21.72222222222221,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:24:00
1634624640000,29.77777777777777,62,759.9934,757.809,31.0,1,73,178,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,283.2,2,1,38.52777777777777,25.57777777777778,32.77777777777778,21.72222222222221,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:24:00
1634624700000,29.72222222222222,62,760.0695999999999,757.8851999999999,31.0,1,73,176,0.0,0.0,3.084576,0.0,8.3058,0.0,8.3058,64.9986,202.8952,284.55,2,1,38.52777777777777,25.57777777777778,32.666666666666664,21.666666666666668,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 14:25:00
